feature_num,classifier,best_params,val_accuracy,val_precision,val_recall,val_f1,val_auc,henan_accuracy,henan_precision,henan_recall,henan_f1,henan_auc,kits_accuracy,kits_precision,kits_recall,kits_f1,kits_auc
75,random_forest,"{'classifier__max_depth': 7, 'classifier__min_samples_split': 5, 'classifier__n_estimators': 200}",0.898058252,0.166666667,0.058823529,0.086956522,0.767818238,0.78125,0.25,0.021276596,0.039215686,0.658372401,0.841201717,0.4,0.055555556,0.097560976,0.609419064
45,random_forest,"{'classifier__max_depth': 7, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.893203883,0.307692308,0.235294118,0.266666667,0.793962029,0.785714286,0.428571429,0.063829787,0.111111111,0.639740353,0.845493562,0.5,0.083333333,0.142857143,0.607586012
25,random_forest,"{'classifier__max_depth': 7, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.888349515,0.2,0.117647059,0.148148148,0.744475568,0.772321429,0.25,0.042553191,0.072727273,0.637336218,0.82832618,0.333333333,0.111111111,0.166666667,0.607304005
30,random_forest,"{'classifier__max_depth': 7, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 300}",0.898058252,0.25,0.117647059,0.16,0.759103641,0.78125,0.375,0.063829787,0.109090909,0.636374564,0.836909871,0.375,0.083333333,0.136363636,0.604483926
20,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 5}",0.669902913,0.150684932,0.647058824,0.244444444,0.663865546,0.633928571,0.315789474,0.638297872,0.422535211,0.616600553,0.622317597,0.217391304,0.555555556,0.3125,0.594261139
55,random_forest,"{'classifier__max_depth': 7, 'classifier__min_samples_split': 10, 'classifier__n_estimators': 100}",0.888349515,0.2,0.117647059,0.148148148,0.792405851,0.772321429,0.25,0.042553191,0.072727273,0.660415915,0.836909871,0.4,0.111111111,0.173913043,0.583756345
40,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.684466019,0.157142857,0.647058824,0.252873563,0.671023965,0.714285714,0.302325581,0.276595745,0.288888889,0.585286693,0.557939914,0.198198198,0.611111111,0.299319728,0.578539199
45,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.684466019,0.175675676,0.764705882,0.285714286,0.689698101,0.6875,0.283018868,0.319148936,0.3,0.593100132,0.532188841,0.188034188,0.611111111,0.287581699,0.578257191
70,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.718446602,0.174603175,0.647058824,0.275,0.691565515,0.709821429,0.295454545,0.276595745,0.285714286,0.581199663,0.587982833,0.180851064,0.472222222,0.261538462,0.572476029
75,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.733009709,0.172413793,0.588235294,0.266666667,0.686585745,0.71875,0.333333333,0.340425532,0.336842105,0.576030773,0.600858369,0.186813187,0.472222222,0.267716535,0.567258883
65,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.689320388,0.15942029,0.647058824,0.255813953,0.662931839,0.71875,0.326086957,0.319148936,0.322580645,0.581560284,0.566523605,0.19047619,0.555555556,0.283687943,0.563451777
60,suppport_vector_machine,"{'classifier__C': 0.1, 'classifier__kernel': 'linear'}",0.665048544,0.138888889,0.588235294,0.224719101,0.683473389,0.705357143,0.31372549,0.340425532,0.326530612,0.577954081,0.536480687,0.172727273,0.527777778,0.260273973,0.547659334
45,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 5}",0.485436893,0.099099099,0.647058824,0.171875,0.634920635,0.553571429,0.164556962,0.276595745,0.206349206,0.477160716,0.386266094,0.15483871,0.666666667,0.251308901,0.544416244
50,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 10}",0.485436893,0.099099099,0.647058824,0.171875,0.634920635,0.553571429,0.164556962,0.276595745,0.206349206,0.477160716,0.386266094,0.15483871,0.666666667,0.251308901,0.544416244
35,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 2}",0.485436893,0.099099099,0.647058824,0.171875,0.633520075,0.553571429,0.164556962,0.276595745,0.206349206,0.467063349,0.386266094,0.15483871,0.666666667,0.251308901,0.544416244
40,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 10}",0.485436893,0.099099099,0.647058824,0.171875,0.633520075,0.553571429,0.164556962,0.276595745,0.206349206,0.467063349,0.386266094,0.15483871,0.666666667,0.251308901,0.544416244
60,decision_tree,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2}",0.572815534,0.091954023,0.470588235,0.153846154,0.531279178,0.71875,0.318181818,0.29787234,0.307692308,0.564310614,0.583690987,0.141176471,0.333333333,0.198347107,0.491398759
70,decision_tree,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2}",0.563106796,0.08988764,0.470588235,0.150943396,0.523498288,0.71875,0.318181818,0.29787234,0.307692308,0.564310614,0.583690987,0.141176471,0.333333333,0.198347107,0.491398759
65,decision_tree,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 5}",0.587378641,0.095238095,0.470588235,0.158415842,0.542950514,0.709821429,0.295454545,0.276595745,0.285714286,0.548623633,0.583690987,0.141176471,0.333333333,0.198347107,0.491398759
50,suppport_vector_machine,"{'classifier__C': 1, 'classifier__kernel': 'linear'}",0.665048544,0.117647059,0.470588235,0.188235294,0.599751012,0.651785714,0.261538462,0.361702128,0.303571429,0.537564611,0.489270386,0.145299145,0.472222222,0.222222222,0.476875353
25,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 2}",0.747572816,0.111111111,0.294117647,0.161290323,0.457671958,0.424107143,0.163934426,0.425531915,0.236686391,0.37883159,0.497854077,0.147826087,0.472222222,0.225165563,0.47356176
55,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 2}",0.5,0.086538462,0.529411765,0.148760331,0.556489262,0.571428571,0.164383562,0.255319149,0.2,0.481187643,0.373390558,0.138157895,0.583333333,0.223404255,0.472081218
30,decision_tree,"{'classifier__max_depth': 3, 'classifier__min_samples_split': 2}",0.757281553,0.133333333,0.352941176,0.193548387,0.512449424,0.424107143,0.174603175,0.468085106,0.25433526,0.409724727,0.489270386,0.145299145,0.472222222,0.222222222,0.464819515
75,decision_tree,"{'classifier__max_depth': 5, 'classifier__min_samples_split': 2}",0.737864078,0.137254902,0.411764706,0.205882353,0.555399938,0.553571429,0.180722892,0.319148936,0.230769231,0.424329847,0.729613734,0.135135135,0.138888889,0.136986301,0.462563452
55,suppport_vector_machine,"{'classifier__C': 1, 'classifier__kernel': 'linear'}",0.660194175,0.104477612,0.411764706,0.166666667,0.571428571,0.647321429,0.277777778,0.425531915,0.336134454,0.539728333,0.459227468,0.137096774,0.472222222,0.2125,0.458121827
